source,status,is_vip,no_of_employees,city,score,qualification_status,explain,name
Website,Open,1,51-200,Ho Chi Minh City,85,Qualified,"Dựa vào các combo trong combo_feature_stats, chúng ta thấy rằng nhiều combo quan trọng như ['source', 'is_vip'], ['is_vip', 'no_of_employees'], ['status', 'is_vip', 'no_of_employees'] nghiêng về nhãn Qualified. Đặc biệt, combo ['source', 'is_vip'] với 150 bản ghi Qualified và combo ['is_vip', 'no_of_employees'] với 253 bản ghi Qualified cho thấy sự ủng hộ mạnh mẽ cho nhãn Qualified. Ngoài ra, với is_vip = 1, chúng ta có thể yên tâm chọn nhãn Qualified khi không có nhiều combo mạnh nghiêng về Junk. Do đó, điểm số được chọn là 85, phản ánh mức độ chắc chắn cao cho nhãn Qualified.",Lead A - Công ty phần mềm
Facebook Ads,Replied,0,201-500,Hanoi,55,Unqualified,"Dựa vào các combo trong combo_feature_stats, không có combo nào ủng hộ rõ rệt cho Qualified, đồng thời không có nhiều combo nghiêng mạnh về Junk. Combo [""status"", ""is_vip""] với giá trị [""Replied"", 0] cho thấy số lượng Unqualified (740) lớn hơn số lượng Qualified (594), trong khi combo [""status"", ""no_of_employees""] với giá trị [""Replied"", ""201-500""] và combo [""is_vip"", ""no_of_employees""] với giá trị [0, ""201-500""] cũng không cho thấy sự chênh lệch rõ ràng giữa Unqualified và Qualified. Do đó, chọn nhãn Unqualified với điểm 55, phản ánh sự không chắc chắn và tín hiệu yếu trong dữ liệu.",Lead B - Chuỗi bán lẻ
Referral,Open,0,1-10,Da Nang,55,Unqualified,"Dựa trên dữ liệu combo_feature_stats, không có combo nào nghiêng rõ rệt về Qualified. Hầu hết các combo quan trọng chứa is_vip, no_of_employees đều không cho thấy số lượng Qualified lớn hơn rõ rệt hai nhãn còn lại. Đặc biệt, combo {'features': ['source', 'status', 'is_vip', 'no_of_employees'], 'values': ['Referral', 'Open', 0, '1-10']} có tổng số lượng bản ghi là 138 và số lượng Unqualified là 54, lớn hơn số lượng Qualified là 35. Do đó, nhãn Unqualified được chọn với điểm 55, phản ánh sự trung tính của tín hiệu từ các combo.",Lead C - Startup nhỏ
Email Campaign,Converted,1,1000,Ho Chi Minh City,80,Qualified,"Dựa trên combo_feature_stats, có 1 combo nghiêng về Qualified với số lượng Qualified (250) lớn hơn rõ rệt so với Junk (73) và Unqualified (62). Vì is_vip = 1 và không có nhiều combo mạnh nghiêng về Junk, nên Qualified là ứng viên chính. Điểm số 80 được chọn do có nhiều combo ủng hộ rõ rệt cho Qualified.",Lead D - Tập đoàn sản xuất
Event,Open,0,11-50,Can Tho,60,Unqualified,"Dựa trên dữ liệu combo_feature_stats, không có nhiều combo mạnh nghiêng về Qualified và cũng không có nhóm combo nào nghiêng mạnh về Junk. Phần lớn combo cho thấy số lượng Unqualified lớn hơn hoặc tương đương với Qualified, đặc biệt là các combo chứa các trường quan trọng như is_vip và no_of_employees. Do đó, chọn nhãn Unqualified với điểm 60, phản ánh mức độ trung tính và thiếu thông tin rõ ràng nghiêng về Qualified hoặc Junk.",Lead E - Công ty dịch vụ
Website,Open,1,51-200,Ho Chi Minh City,85,Qualified,"Dựa vào các combo trong combo_feature_stats, chúng ta thấy rằng nhiều combo quan trọng như ['source', 'is_vip'], ['is_vip', 'no_of_employees'], ['status', 'is_vip', 'no_of_employees'] nghiêng về nhãn Qualified. Đặc biệt, combo ['source', 'is_vip'] với 150 bản ghi Qualified và combo ['is_vip', 'no_of_employees'] với 253 bản ghi Qualified cho thấy sự ủng hộ mạnh mẽ cho nhãn Qualified. Ngoài ra, với is_vip = 1, chúng ta có thể yên tâm chọn nhãn Qualified khi không có nhiều combo mạnh nghiêng về Junk. Do đó, điểm số được chọn là 85, phản ánh mức độ chắc chắn cao cho nhãn Qualified.",Lead A - Công ty phần mềm
Facebook Ads,Replied,0,201-500,Hanoi,55,Unqualified,"Dựa vào các combo trong combo_feature_stats, không có combo nào ủng hộ rõ rệt cho Qualified, đồng thời không có nhiều combo nghiêng mạnh về Junk. Combo [""status"", ""is_vip""] với giá trị [""Replied"", 0] cho thấy số lượng Unqualified (740) lớn hơn số lượng Qualified (594), trong khi combo [""status"", ""no_of_employees""] với giá trị [""Replied"", ""201-500""] và combo [""is_vip"", ""no_of_employees""] với giá trị [0, ""201-500""] cũng không cho thấy sự chênh lệch rõ ràng giữa Unqualified và Qualified. Do đó, chọn nhãn Unqualified với điểm 55, phản ánh sự không chắc chắn và tín hiệu yếu trong dữ liệu.",Lead B - Chuỗi bán lẻ
Referral,Open,0,1-10,Da Nang,55,Unqualified,"Dựa trên dữ liệu combo_feature_stats, không có combo nào nghiêng rõ rệt về Qualified. Hầu hết các combo quan trọng chứa is_vip, no_of_employees đều không cho thấy số lượng Qualified lớn hơn rõ rệt hai nhãn còn lại. Đặc biệt, combo {'features': ['source', 'status', 'is_vip', 'no_of_employees'], 'values': ['Referral', 'Open', 0, '1-10']} có tổng số lượng bản ghi là 138 và số lượng Unqualified là 54, lớn hơn số lượng Qualified là 35. Do đó, nhãn Unqualified được chọn với điểm 55, phản ánh sự trung tính của tín hiệu từ các combo.",Lead C - Startup nhỏ
Email Campaign,Converted,1,1000,Ho Chi Minh City,80,Qualified,"Dựa trên combo_feature_stats, có 1 combo nghiêng về Qualified với số lượng Qualified (250) lớn hơn rõ rệt so với Junk (73) và Unqualified (62). Vì is_vip = 1 và không có nhiều combo mạnh nghiêng về Junk, nên Qualified là ứng viên chính. Điểm số 80 được chọn do có nhiều combo ủng hộ rõ rệt cho Qualified.",Lead D - Tập đoàn sản xuất
Event,Open,0,11-50,Can Tho,60,Unqualified,"Dựa trên dữ liệu combo_feature_stats, không có nhiều combo mạnh nghiêng về Qualified và cũng không có nhóm combo nào nghiêng mạnh về Junk. Phần lớn combo cho thấy số lượng Unqualified lớn hơn hoặc tương đương với Qualified, đặc biệt là các combo chứa các trường quan trọng như is_vip và no_of_employees. Do đó, chọn nhãn Unqualified với điểm 60, phản ánh mức độ trung tính và thiếu thông tin rõ ràng nghiêng về Qualified hoặc Junk.",Lead E - Công ty dịch vụ
,,1,,Bắc Ninh,80,Qualified,"Dựa vào combo_feature_stats, trong đó có tổ hợp của is_vip và city, chúng ta thấy số lượng Qualified là 61, lớn hơn rõ rệt so với Junk và Unqualified. Với is_vip = 1 và không có nhiều combo mạnh nghiêng về Junk, chúng ta có thể xem Qualified là ứng viên chính. Do đó, nhãn cuối cùng được chọn là Qualified với điểm số cao là 80, thể hiện mức độ chắc chắn cao trong việc lựa chọn nhãn này.",
Website,Open,1,51-200,Ho Chi Minh City,85,Qualified,"Dựa vào các combo trong combo_feature_stats, chúng ta thấy rằng nhiều combo quan trọng như ['source', 'is_vip'], ['is_vip', 'no_of_employees'], ['status', 'is_vip', 'no_of_employees'] nghiêng về nhãn Qualified. Đặc biệt, combo ['source', 'is_vip'] với 150 bản ghi Qualified và combo ['is_vip', 'no_of_employees'] với 253 bản ghi Qualified cho thấy sự ủng hộ mạnh mẽ cho nhãn Qualified. Ngoài ra, với is_vip = 1, chúng ta có thể yên tâm chọn nhãn Qualified khi không có nhiều combo mạnh nghiêng về Junk. Do đó, điểm số được chọn là 85, phản ánh mức độ chắc chắn cao cho nhãn Qualified.",Lead A - Công ty phần mềm
Facebook Ads,Replied,0,201-500,Hanoi,55,Unqualified,"Dựa vào các combo trong combo_feature_stats, không có combo nào ủng hộ rõ rệt cho Qualified, đồng thời không có nhiều combo nghiêng mạnh về Junk. Combo [""status"", ""is_vip""] với giá trị [""Replied"", 0] cho thấy số lượng Unqualified (740) lớn hơn số lượng Qualified (594), trong khi combo [""status"", ""no_of_employees""] với giá trị [""Replied"", ""201-500""] và combo [""is_vip"", ""no_of_employees""] với giá trị [0, ""201-500""] cũng không cho thấy sự chênh lệch rõ ràng giữa Unqualified và Qualified. Do đó, chọn nhãn Unqualified với điểm 55, phản ánh sự không chắc chắn và tín hiệu yếu trong dữ liệu.",Lead B - Chuỗi bán lẻ
Referral,Open,0,1-10,Da Nang,55,Unqualified,"Dựa trên dữ liệu combo_feature_stats, không có combo nào nghiêng rõ rệt về Qualified. Hầu hết các combo quan trọng chứa is_vip, no_of_employees đều không cho thấy số lượng Qualified lớn hơn rõ rệt hai nhãn còn lại. Đặc biệt, combo {'features': ['source', 'status', 'is_vip', 'no_of_employees'], 'values': ['Referral', 'Open', 0, '1-10']} có tổng số lượng bản ghi là 138 và số lượng Unqualified là 54, lớn hơn số lượng Qualified là 35. Do đó, nhãn Unqualified được chọn với điểm 55, phản ánh sự trung tính của tín hiệu từ các combo.",Lead C - Startup nhỏ
Email Campaign,Converted,1,1000,Ho Chi Minh City,80,Qualified,"Dựa trên combo_feature_stats, có 1 combo nghiêng về Qualified với số lượng Qualified (250) lớn hơn rõ rệt so với Junk (73) và Unqualified (62). Vì is_vip = 1 và không có nhiều combo mạnh nghiêng về Junk, nên Qualified là ứng viên chính. Điểm số 80 được chọn do có nhiều combo ủng hộ rõ rệt cho Qualified.",Lead D - Tập đoàn sản xuất
Event,Open,0,11-50,Can Tho,60,Unqualified,"Dựa trên dữ liệu combo_feature_stats, không có nhiều combo mạnh nghiêng về Qualified và cũng không có nhóm combo nào nghiêng mạnh về Junk. Phần lớn combo cho thấy số lượng Unqualified lớn hơn hoặc tương đương với Qualified, đặc biệt là các combo chứa các trường quan trọng như is_vip và no_of_employees. Do đó, chọn nhãn Unqualified với điểm 60, phản ánh mức độ trung tính và thiếu thông tin rõ ràng nghiêng về Qualified hoặc Junk.",Lead E - Công ty dịch vụ
,,1,,Bắc Ninh,80,Qualified,"Dựa vào combo_feature_stats, trong đó có tổ hợp của is_vip và city, chúng ta thấy số lượng Qualified là 61, lớn hơn rõ rệt so với Junk và Unqualified. Với is_vip = 1 và không có nhiều combo mạnh nghiêng về Junk, chúng ta có thể xem Qualified là ứng viên chính. Do đó, nhãn cuối cùng được chọn là Qualified với điểm số cao là 80, thể hiện mức độ chắc chắn cao trong việc lựa chọn nhãn này.",
,,1,,Bắc Ninh,85,Qualified,"Dựa trên thông tin lead và thống kê combo_feature_stats, chúng ta thấy rằng combo có chứa is_vip và city nghiêng về Qualified với số lượng 61 lớn hơn rõ rệt so với Junk và Unqualified. Vì is_vip = 1 và không có nhiều combo mạnh nghiêng về Junk, nên chúng ta có thể xem Qualified là ứng viên chính. Score được chọn là 70 do combo này ủng hộ rõ rệt nhưng vẫn cần xem xét các yếu tố khác.",
Website,Open,1,51-200,Ho Chi Minh City,85,Qualified,"Dựa vào các combo trong combo_feature_stats, chúng ta thấy rằng nhiều combo quan trọng như ['source', 'is_vip'], ['is_vip', 'no_of_employees'], ['status', 'is_vip', 'no_of_employees'] nghiêng về nhãn Qualified. Đặc biệt, combo ['source', 'is_vip'] với 150 bản ghi Qualified và combo ['is_vip', 'no_of_employees'] với 253 bản ghi Qualified cho thấy sự ủng hộ mạnh mẽ cho nhãn Qualified. Ngoài ra, với is_vip = 1, chúng ta có thể yên tâm chọn nhãn Qualified khi không có nhiều combo mạnh nghiêng về Junk. Do đó, điểm số được chọn là 85, phản ánh mức độ chắc chắn cao cho nhãn Qualified.",Lead A - Công ty phần mềm
Facebook Ads,Replied,0,201-500,Hanoi,55,Unqualified,"Dựa vào các combo trong combo_feature_stats, không có combo nào ủng hộ rõ rệt cho Qualified, đồng thời không có nhiều combo nghiêng mạnh về Junk. Combo [""status"", ""is_vip""] với giá trị [""Replied"", 0] cho thấy số lượng Unqualified (740) lớn hơn số lượng Qualified (594), trong khi combo [""status"", ""no_of_employees""] với giá trị [""Replied"", ""201-500""] và combo [""is_vip"", ""no_of_employees""] với giá trị [0, ""201-500""] cũng không cho thấy sự chênh lệch rõ ràng giữa Unqualified và Qualified. Do đó, chọn nhãn Unqualified với điểm 55, phản ánh sự không chắc chắn và tín hiệu yếu trong dữ liệu.",Lead B - Chuỗi bán lẻ
Referral,Open,0,1-10,Da Nang,55,Unqualified,"Dựa trên dữ liệu combo_feature_stats, không có combo nào nghiêng rõ rệt về Qualified. Hầu hết các combo quan trọng chứa is_vip, no_of_employees đều không cho thấy số lượng Qualified lớn hơn rõ rệt hai nhãn còn lại. Đặc biệt, combo {'features': ['source', 'status', 'is_vip', 'no_of_employees'], 'values': ['Referral', 'Open', 0, '1-10']} có tổng số lượng bản ghi là 138 và số lượng Unqualified là 54, lớn hơn số lượng Qualified là 35. Do đó, nhãn Unqualified được chọn với điểm 55, phản ánh sự trung tính của tín hiệu từ các combo.",Lead C - Startup nhỏ
Email Campaign,Converted,1,1000,Ho Chi Minh City,80,Qualified,"Dựa trên combo_feature_stats, có 1 combo nghiêng về Qualified với số lượng Qualified (250) lớn hơn rõ rệt so với Junk (73) và Unqualified (62). Vì is_vip = 1 và không có nhiều combo mạnh nghiêng về Junk, nên Qualified là ứng viên chính. Điểm số 80 được chọn do có nhiều combo ủng hộ rõ rệt cho Qualified.",Lead D - Tập đoàn sản xuất
Event,Open,0,11-50,Can Tho,60,Unqualified,"Dựa trên dữ liệu combo_feature_stats, không có nhiều combo mạnh nghiêng về Qualified và cũng không có nhóm combo nào nghiêng mạnh về Junk. Phần lớn combo cho thấy số lượng Unqualified lớn hơn hoặc tương đương với Qualified, đặc biệt là các combo chứa các trường quan trọng như is_vip và no_of_employees. Do đó, chọn nhãn Unqualified với điểm 60, phản ánh mức độ trung tính và thiếu thông tin rõ ràng nghiêng về Qualified hoặc Junk.",Lead E - Công ty dịch vụ
,,1,,Bắc Ninh,80,Qualified,"Dựa vào combo_feature_stats, trong đó có tổ hợp của is_vip và city, chúng ta thấy số lượng Qualified là 61, lớn hơn rõ rệt so với Junk và Unqualified. Với is_vip = 1 và không có nhiều combo mạnh nghiêng về Junk, chúng ta có thể xem Qualified là ứng viên chính. Do đó, nhãn cuối cùng được chọn là Qualified với điểm số cao là 80, thể hiện mức độ chắc chắn cao trong việc lựa chọn nhãn này.",
,,1,,Bắc Ninh,85,Qualified,"Dựa trên thông tin lead và thống kê combo_feature_stats, chúng ta thấy rằng combo có chứa is_vip và city nghiêng về Qualified với số lượng 61 lớn hơn rõ rệt so với Junk và Unqualified. Vì is_vip = 1 và không có nhiều combo mạnh nghiêng về Junk, nên chúng ta có thể xem Qualified là ứng viên chính. Score được chọn là 70 do combo này ủng hộ rõ rệt nhưng vẫn cần xem xét các yếu tố khác.",
,,1,,Bắc Ninh,80,Qualified,"Dựa trên combo_feature_stats, có 1 combo nghiêng rõ rệt về Qualified với số lượng Qualified lớn nhất (61) và tổng số bản ghi là 96. Vì is_vip = 1 và không có nhiều combo mạnh nghiêng về Junk, nên Qualified là ứng viên chính. Điểm được chấm cao (80) do có nhiều combo ủng hộ rõ rệt cho Qualified.",
,,1,,Bắc Ninh,80,Qualified,"Dựa trên thông tin lead và thống kê combo_feature_stats, có 1 combo quan trọng với các trường is_vip và city cho thấy số lượng Qualified lớn nhất. Với is_vip = 1 và không có nhiều combo mạnh nghiêng về Junk, nhãn Qualified được xem là ứng viên chính. Do đó, điểm được chấm là 80 dựa trên mức độ chắc chắn cao của combo này.",
Website,Open,1,51-200,Ho Chi Minh City,85,Qualified,"Dựa vào các combo trong combo_feature_stats, chúng ta thấy rằng nhiều combo quan trọng như ['source', 'is_vip'], ['is_vip', 'no_of_employees'], ['status', 'is_vip', 'no_of_employees'] nghiêng về nhãn Qualified. Đặc biệt, combo ['source', 'is_vip'] với 150 bản ghi Qualified và combo ['is_vip', 'no_of_employees'] với 253 bản ghi Qualified cho thấy sự ủng hộ mạnh mẽ cho nhãn Qualified. Ngoài ra, với is_vip = 1, chúng ta có thể yên tâm chọn nhãn Qualified khi không có nhiều combo mạnh nghiêng về Junk. Do đó, điểm số được chọn là 85, phản ánh mức độ chắc chắn cao cho nhãn Qualified.",Lead A - Công ty phần mềm
Facebook Ads,Replied,0,201-500,Hanoi,55,Unqualified,"Dựa vào các combo trong combo_feature_stats, không có combo nào ủng hộ rõ rệt cho Qualified, đồng thời không có nhiều combo nghiêng mạnh về Junk. Combo [""status"", ""is_vip""] với giá trị [""Replied"", 0] cho thấy số lượng Unqualified (740) lớn hơn số lượng Qualified (594), trong khi combo [""status"", ""no_of_employees""] với giá trị [""Replied"", ""201-500""] và combo [""is_vip"", ""no_of_employees""] với giá trị [0, ""201-500""] cũng không cho thấy sự chênh lệch rõ ràng giữa Unqualified và Qualified. Do đó, chọn nhãn Unqualified với điểm 55, phản ánh sự không chắc chắn và tín hiệu yếu trong dữ liệu.",Lead B - Chuỗi bán lẻ
Referral,Open,0,1-10,Da Nang,55,Unqualified,"Dựa trên dữ liệu combo_feature_stats, không có combo nào nghiêng rõ rệt về Qualified. Hầu hết các combo quan trọng chứa is_vip, no_of_employees đều không cho thấy số lượng Qualified lớn hơn rõ rệt hai nhãn còn lại. Đặc biệt, combo {'features': ['source', 'status', 'is_vip', 'no_of_employees'], 'values': ['Referral', 'Open', 0, '1-10']} có tổng số lượng bản ghi là 138 và số lượng Unqualified là 54, lớn hơn số lượng Qualified là 35. Do đó, nhãn Unqualified được chọn với điểm 55, phản ánh sự trung tính của tín hiệu từ các combo.",Lead C - Startup nhỏ
Email Campaign,Converted,1,1000,Ho Chi Minh City,80,Qualified,"Dựa trên combo_feature_stats, có 1 combo nghiêng về Qualified với số lượng Qualified (250) lớn hơn rõ rệt so với Junk (73) và Unqualified (62). Vì is_vip = 1 và không có nhiều combo mạnh nghiêng về Junk, nên Qualified là ứng viên chính. Điểm số 80 được chọn do có nhiều combo ủng hộ rõ rệt cho Qualified.",Lead D - Tập đoàn sản xuất
Event,Open,0,11-50,Can Tho,60,Unqualified,"Dựa trên dữ liệu combo_feature_stats, không có nhiều combo mạnh nghiêng về Qualified và cũng không có nhóm combo nào nghiêng mạnh về Junk. Phần lớn combo cho thấy số lượng Unqualified lớn hơn hoặc tương đương với Qualified, đặc biệt là các combo chứa các trường quan trọng như is_vip và no_of_employees. Do đó, chọn nhãn Unqualified với điểm 60, phản ánh mức độ trung tính và thiếu thông tin rõ ràng nghiêng về Qualified hoặc Junk.",Lead E - Công ty dịch vụ
,,1,,Bắc Ninh,80,Qualified,"Dựa vào combo_feature_stats, trong đó có tổ hợp của is_vip và city, chúng ta thấy số lượng Qualified là 61, lớn hơn rõ rệt so với Junk và Unqualified. Với is_vip = 1 và không có nhiều combo mạnh nghiêng về Junk, chúng ta có thể xem Qualified là ứng viên chính. Do đó, nhãn cuối cùng được chọn là Qualified với điểm số cao là 80, thể hiện mức độ chắc chắn cao trong việc lựa chọn nhãn này.",
,,1,,Bắc Ninh,85,Qualified,"Dựa trên thông tin lead và thống kê combo_feature_stats, chúng ta thấy rằng combo có chứa is_vip và city nghiêng về Qualified với số lượng 61 lớn hơn rõ rệt so với Junk và Unqualified. Vì is_vip = 1 và không có nhiều combo mạnh nghiêng về Junk, nên chúng ta có thể xem Qualified là ứng viên chính. Score được chọn là 70 do combo này ủng hộ rõ rệt nhưng vẫn cần xem xét các yếu tố khác.",
,,1,,Bắc Ninh,80,Qualified,"Dựa trên combo_feature_stats, có 1 combo nghiêng rõ rệt về Qualified với số lượng Qualified lớn nhất (61) và tổng số bản ghi là 96. Vì is_vip = 1 và không có nhiều combo mạnh nghiêng về Junk, nên Qualified là ứng viên chính. Điểm được chấm cao (80) do có nhiều combo ủng hộ rõ rệt cho Qualified.",
,,1,,Bắc Ninh,85,Qualified,"Dựa vào combo_feature_stats, có 1 combo nghiêng về Qualified với số lượng Qualified (61) nhiều hơn rõ rệt so với Junk (18) và Unqualified (17). Đồng thời, is_vip = 1 và không có nhiều combo mạnh nghiêng về Junk, nên nhãn Qualified được chọn. Điểm số 70 được chọn vì chỉ có 1 combo ủng hộ rõ rệt cho Qualified, nhưng tín hiệu này đủ mạnh để khẳng định lựa chọn của mình.",
,,1,,Bắc Ninh,80,Qualified,"Dựa vào combo_feature_stats, có 1 combo nghiêng về Qualified với số lượng Qualified lớn nhất (61) và có chứa các trường quan trọng là_vip và city. Đồng thời, is_vip = 1 và không có nhiều combo mạnh nghiêng về Junk, nên Qualified là ứng viên chính. Điểm số 80 được chọn do có nhiều combo ủng hộ rõ rệt cho Qualified.",
